Sr,District,Taluka,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Total RainFall,%RainFall,Rainy Days
72,,Akkalkua,149.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,24.3,0.0,2.2,0.0,2.5,0.0,27.7,1.7,5.8,68.4,52,4
73,Jalgaon,Jalgaon,131.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,1.4,1.9,13.9,7.6,2.2,0.2,18.4,0.0,1.0,0.0,72.7,0.3,122.8,88.6,5
74,,Bhusawal,138.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7,0.8,4.0,0.8,27.9,0.0,2.8,45.8,0.0,0.0,0.0,25.4,1.0,120.2,94.7,6
75,,Yaval,126.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,3.2,5.3,6.4,0.8,0.0,0.0,13.9,0.0,0.0,0.9,9.2,6.1,49.5,36.9,7
76,,Raver,134.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3.3,3.4,0.0,3.3,8.6,0.0,21.4,0.0,0.0,0.0,4.1,15.6,61.3,47.7,7
77,,Edlabad mukainagar,128.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.3,1.0,0.0,1.0,0.0,0.0,10.5,0.0,0.0,0.8,12.3,3.3,32.5,25.2,3
78,,Amalner,128.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.9,0.6,23.5,0.5,4.8,1.4,2.5,0.0,2.5,0.0,37.3,1.9,76.1,58,3
79,,Chopda,131.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,1.9,4.7,0.0,1.0,0.0,3.0,0.0,0.0,0.0,132.3,0.1,144.6,124.1,3
80,,Erandol,116.5,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,2.3,18.5,1.5,1.0,25.8,0.0,0.0,0.0,62.8,0.5,119.9,91.5,4
81,,Parola,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,23.2,6.8,17.6,0.0,15.0,0.0,0.0,1.6,34.6,1.4,101.6,78.6,5
82,,Chalisgaon,129.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,43.6,0.0,15.7,14.9,0.0,0.0,12.0,14.9,102.8,76,5
83,,Jamner,135.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,0.0,0.0,0.8,8.4,4.8,0.0,23.5,0.0,1.9,0.0,21.8,0.5,71.1,52.8,5
84,,Pachora,134.6,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.1,1.0,0.0,11.0,6.1,0.0,22.6,0.0,0.0,1.6,32.0,5.1,84.6,65.5,6
