Sr,District,Taluka,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Total RainFall,%RainFall,Rainy Days
113,,Indapur,10.3,0.0, - , - , - , - , - , - , - , - , - ,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,67.8,1
114,,Daund,9.0,0.0, - , - , - , - , - , - , - , - , - ,0.0,7.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,58,1
115,,Purandar saswad,16.2,0.0, - , - , - , - , - , - , - , - , - ,1.1,3.1,0.4,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,58.6,2
116,Solapur,N.solapur,12.8,-,-,-,-,0.0,0.0,0.0, - ,0.0,0.0,1.4,0.4,1.8,0.0,0.0,0.0,0.0, - ,0.0, - , - , - ,0.0, - , - , - ,0.0, - , - , - ,3.6,28.1,0
117,,S.solapur,12.8,-,-,-,-,0.0,0.0,0.0, - ,0.0,0.0,2.7,1.9,0.0,0.0,0.0,0.0,0.0, - ,0.0, - , - , - ,0.0, - , - , - ,0.0, - , - , - ,4.6,48.9,1
118,,Barshi,9.4,0.0,0.0, - , - ,0.0,0.0,0.0, - ,0.0,10.2,0.1,0.0,16.6,0.0,0.0,0.0,1.8, - ,0.0,0.0,0.0,0.0,0.0,0.0, - , - ,0.0,0.0, - , - ,28.7,162.1,2
119,,Akkalkot,17.7,-,-,-,-,0.0,0.0,0.0, - ,3.6,1.3, - ,10.3,2.6,0.0,0.0,0.3,0.0, - ,0.0, - , - , - ,3.0, - , - , - ,1.3, - , - , - ,22.4,180.6,4
120,,Mohol,12.4,-,-,-,-,0.0,0.0,0.0, - ,0.0,0.0, - ,4.3,5.4, - ,0.0,0.0,0.0, - ,0.0, - , - , - ,0.0, - , - , - ,0.0, - , - , - ,9.7,97,2
121,,Madha,10.0,-,-,-,-,0.0,0.0,0.0, - ,0.0,0.0, - ,1.2,4.3, - ,0.0,0.0,0.2, - ,0.0, - , - , - ,0.0, - , - , - ,0.0, - , - , - ,5.7,52.3,1
122,,Karmala,10.9,-,-,-,-,0.0,0.0,0.0, - ,0.0,0.0, - ,1.2,0.0, - ,0.0,0.0,5.8, - ,0.0, - , - , - ,0.0, - , - , - ,0.0, - , - , - ,7,55.1,1
