Sr,District,Taluka,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total RainFall,%RainFall,Rainy Days
76,,Raver,187.3,0.0,0.0,1.0,0.0,2.0,8.4,5.6,16.0,7.0,0.0,0.0,0.0,0.0,2.0,2.4,7.4,8.8,4.6,9.4,15.0,0.0,0.0,5.2,0.0,13.2,1.4,3.6,28.2,0.0,0.0,0.0,141.2,67.2,13
77,,Edlabad mukainagar,210.1,0.0,0.0,0.0,0.0,0.0,16.0,0.0,27.0,4.0,3.0,0.0,0.0,4.0,0.0,31.0,11.0,12.0,5.0,0.0,8.0,0.0,0.0,13.0,0.0,15.0,0.0,3.0,20.0,0.0,7.0,12.0,191,101.8,16
78,,Amalner,187.6,0.0,0.0,0.0,1.0,0.0,0.0,18.8,6.1,28.0,0.0,0.0,2.7,0.0,2.5,0.0,0.5,7.5,19.8,27.8,1.1,0.0,0.0,3.0,0.0,0.5,0.0,0.0,5.7,0.5,0.0,22.1,147.6,66.8,10
79,,Chopda,220.9,0.5,0.0,0.0,0.0,0.0,15.3,49.0,36.0,20.0,0.5,0.3,0.3,0.0,0.0,0.0,0.0,5.3,20.3,41.5,4.3,0.0,1.0,5.5,0.0,1.0,1.0,0.0,22.3,0.0,0.0,23.3,247.4,119.3,11
80,,Erandol,207.4,0.0,0.0,0.0,3.0,0.0,2.0,35.0,34.0,15.0,0.0,0.0,0.0,0.0,2.0,0.0,17.0,0.0,31.0,8.0,2.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,53.0,2.0,0.0,61.0,273,139.4,11
81,,Parola,195.9,0.0,0.0,0.0,9.4,0.0,0.0,33.4,10.8,19.6,0.0,0.0,0.0,0.0,5.8,0.0,5.4,0.0,9.2,11.6,1.2,0.0,0.0,3.6,0.0,4.0,1.6,4.4,24.6,6.8,0.0,23.8,175.2,98.7,14
82,,Chalisgaon,177.5,0.0,0.0,0.0,0.0,0.0,6.0,34.0,12.0,4.0,0.0,2.0,3.0,4.0,0.0,1.0,0.0,9.0,1.0,18.0,8.0,0.0,0.0,2.0,0.0,1.0,21.0,30.0,27.0,4.0,0.0,2.0,189,87.5,13
83,,Jamner,216.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,14.5,20.0,4.1,0.0,1.3,2.2,11.1,5.0,2.0,1.0,15.4,5.5,13.1,0.9,0.0,8.1,0.0,3.8,2.0,9.4,38.2,0.0,0.0,11.4,173.2,85.4,14
84,,Pachora,202.7,0.5,0.0,0.0,0.0,0.0,0.4,9.0,15.4,16.5,0.0,0.4,2.3,0.9,10.3,7.3,1.3,1.2,0.8,10.9,12.7,0.0,0.0,5.1,0.0,0.8,0.8,12.0,99.3,12.0,0.0,22.7,242.6,135.2,12
85,,Bhadgaon,179.4,0.5,0.0,0.0,0.0,0.0,0.0,18.0,6.7,28.2,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,11.0,12.0,0.0,0.0,5.2,0.0,0.0,2.0,22.0,65.2,18.2,0.0,9.5,204.5,98.6,11
