Sr,District,Taluka,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total RainFall,%RainFall,Rainy Days
69,,Shahada,185.3,29.0,21.0,13.0,3.0,5.0,36.0,118.0,22.0,1.0,51.0,109.0,4.0,2.0,2.0,1.0,6.0,0.0,0.0,0.0,1.0,1.0,11.0,3.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,446,197.3,15
70,,Taloda,226.1,59.0,28.0,33.0,12.0,8.0,14.0,161.0,42.0,5.0,28.0,112.0,6.0,5.0,3.0,1.0,7.0,0.0,0.0,0.0,5.0,12.0,30.0,7.0,0.0,3.0,7.0,4.0,2.0,0.0,2.0,0.0,596,301.5,22
71,,Akrani,197.7,106.0,17.0,31.0,3.0,15.0,78.0,230.0,46.0,11.0,55.0,57.0,96.0,0.0,1.0,1.0,9.0,2.0,1.0,0.0,0.0,6.0,1.0,3.0,1.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,777,227.4,16
72,,Akkalkua,341.7,85.0,49.0,24.0,33.0,15.0,20.0,110.0,60.0,13.0,20.0,85.0,26.0,13.0,4.0,1.0,4.0,4.0,0.0,0.0,2.0,4.0,16.0,9.0,1.0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,610,292.1,22
73,Jalgaon,Jalgaon,208.8,0.8,14.8,13.0,3.2,30.2,220.8,160.6,49.0,0.0,28.0,13.4,2.0,3.4,13.0,0.0,28.0,20.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,601,370.3,13
74,,Bhusawal,162.3,1.2,4.9,5.6,0.5,16.5,229.2,202.8,66.2,2.0,35.4,8.6,24.8,3.8,8.3,0.0,50.8,3.8,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,665.8,310.5,13
75,,Yaval,214.4,1.0,2.0,3.0,0.0,20.0,164.0,248.0,106.0,24.0,49.0,3.0,9.0,4.0,23.0,0.0,24.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,683,326,13
76,,Raver,209.5,10.0,7.0,4.0,5.0,14.0,72.0,334.0,54.0,56.0,26.0,16.0,0.0,0.0,9.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613,423.3,13
77,,Edlabad mukainagar,144.8,2.0,7.0,5.0,9.0,27.0,123.0,185.0,60.0,14.0,32.0,19.2,3.0,4.0,5.0,0.0,12.0,3.8,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516,369.4,16
78,,Amalner,139.7,0.0,2.3,3.2,11.3,19.2,51.2,89.7,13.0,5.2,5.6,4.0,2.0,6.4,9.4,0.0,2.6,0.0,2.6,0.0,0.0,5.2,0.0,1.2,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,238.1,108.8,15
