Sr,District,Taluka,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Total RainFall,%RainFall,Rainy Days
85,,Bhadgaon,156.5,17.0,1.0,0.0,8.0,9.0,9.0,2.0,45.0,9.0,0.0,50.0,6.0,62.0,44.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271,206.6,11
86,,Dharangaon,131.2,6.0,1.5,0.0,0.0,6.0,16.5,1.5,8.0,3.0,1.5,37.0,0.0,8.0,50.0,4.0,0.0,0.0,4.0,0.0,27.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176,124.6,11
87,,Bodhwada,141.2,43.5,13.6,0.0,3.0,12.5,44.2,0.0,7.0,22.1,6.1,104.2,1.6,33.1,12.1,5.0,0.0,0.0,2.6,0.0,7.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.7,181.4,14
88,Ahamadnagar,Nagar,176.2,40.0,0.0,7.0,11.0,0.0,5.0,16.0,18.0,36.0,72.0,17.0,16.0,65.0,1.0,3.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354,246,13
89,,Parner,143.9,7.0,0.0,2.0,2.0,18.0,20.0,2.0,2.0,34.0,42.0,1.0,9.0,42.0,3.0,6.0,4.0,2.0,2.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208,140.4,12
90,,Shrigonda,148.1,47.0,0.0,27.0,11.0,0.0,0.0,7.0,24.0,48.0,22.0,9.0,14.0,27.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241,139.3,11
91,,Karjat,173.0,90.0,0.0,5.0,35.0,29.0,51.0,10.0,38.0,75.0,9.0,12.0,26.0,127.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516,265,14
92,,Jamkhed,194.7,49.0,0.0,37.0,25.0,0.0,15.0,10.0,52.0,42.0,31.0,4.0,8.0,63.0,9.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376,215.8,14
93,,Shegaon,174.2,0.0,29.0,0.0,15.0,23.0,47.0,0.0,9.0,30.0,11.0,22.0,8.0,59.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262,157.7,11
94,,Pathardi,166.1,3.0,9.0,14.0,7.0,52.0,0.0,22.0,8.0,45.0,5.0,30.0,55.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361,233.8,14
